Person,M00,M01,M02,M10,M11,M12,M20,M21,M22
10,335325,51002805,7767910215,30880755,4695983100,715045000710,2974847085,452325940590,10144856284
10,340935,51774435,7873816815,31306095,4754217705,723002861955,3004049685,456212177055,8487075409
10,344250,52182945,7922045985,31436655,4765827345,723571950555,2997272805,454419280215,-1324199699
10,355980,53888130,8170992540,32329665,4894004625,742038528315,3066815385,464213148855,-10985137163
10,364905,55271250,8386241100,33072990,5009659110,760106938620,3132056370,474401667480,-7257026314
10,334815,69150390,14294705340,29165370,6017419110,1242680761440,2669109480,550161987450,-6306929700
10,331245,68186235,14048411805,29109270,5986870365,1232448209415,2686410720,552037391835,-2644851503
10,332775,68333625,14043901875,29174550,5986414170,1229456781210,2689511010,551458777200,1873645820
10,328950,67291950,13777432230,29160525,5961467520,1219823626830,2712031845,554039717370,4009540584
10,341190,69467865,14156630235,29806695,6065824740,1235566742370,2739862545,557295460470,14557064236
10,349095,70830075,14384188665,30400080,6165807435,1251719400915,2785563390,564754295385,-4457204835
10,364650,73806690,14953277520,31625865,6399379275,1296156150225,2885526195,583680680475,-4231053307
10,376380,76073640,15391861200,32541570,6575797965,1330164079875,2962537470,598479367815,-12888584471
10,385050,77636025,15669397335,33411120,6735326730,1359124671360,3059509380,616628888520,-6828846090
10,386835,77793870,15660957600,33513375,6739000770,1356468107370,3067732365,616781731440,-4965888956
10,349605,85342380,20848978500,38957880,9510027120,1820825240328,4488819060,1095732941130,9342764866
10,355725,86436585,21019755825,39949830,9709539885,1910761556265,4611675510,1121042642535,-16672660929
10,360825,87378300,21177437880,40425150,9792420240,1935936123738,4658070210,1128624985680,-13505242654
10,370005,89320125,21580591605,41491560,10019008650,1978913783192,4789246290,1156744784280,1084790834
10,365925,87894165,21130455405,40997880,9851895930,1909843156678,4733239620,1137882355230,1267242910
10,364650,87079440,20812414560,39964110,9547332855,1930503183773,4545178140,1086265156035,22705863969
10,350880,83368170,19825069350,38192370,9077130705,1905723664111,4306124310,1023764618295,12224179189
10,348330,82445580,19531626060,38226540,9049848255,1921002789053,4331673780,1025681218185,33276938515
